GOslim,Count,Percent,Term,go_terms
GO:0000228,6,0.267260579064588,nuclear chromosome,GO:0000784;GO:0001740
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,738,32.8730512249443,cellular_component,GO:0000131;GO:0000159;GO:0000164;GO:0016469;GO:0000221;GO:0000228;GO:0005834;GO:0000781;GO:0000784;GO:0000803;GO:0000805;GO:0001740;GO:1990904;GO:0005576;GO:0005829;GO:0005634;GO:0005737;GO:0005681;GO:0005741;GO:0005783;GO:0043231;GO:0005798;GO:0030137;GO:0005934;GO:0005935;GO:0005955;GO:0005967;GO:0008287;GO:0009279;GO:0045254;GO:0015934;GO:0017053;GO:0017101;GO:0019867;GO:0030018;GO:0030140;GO:0031264;GO:0031265;GO:0031594;GO:0031968;GO:0032991;GO:0033176;GO:0033179;GO:0033180;GO:0033181;GO:0034663;GO:0035267;GO:0035748;GO:0035861;GO:0036056;GO:0036057;GO:0042383;GO:0042470;GO:0043083;GO:0043189;GO:0043197;GO:0043220;GO:0043226;GO:0043227;GO:0043229;GO:0043296;GO:0044309;GO:0044391;GO:0044422;GO:0044424;GO:0044428;GO:0044429;GO:0044444;GO:0044445;GO:0044446;GO:0044449;GO:0044462;GO:0044463;GO:0044464;GO:0048770;GO:0070765;GO:0071006;GO:0071012;GO:0071013;GO:0090734;GO:0097342;GO:0097453;GO:0098588;GO:0098796;GO:0098797;GO:0098805;GO:1902494;GO:1903293;GO:1905360;GO:1990015;GO:1990204
GO:0005576,9,0.400890868596882,extracellular region,GO:0043083
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,355,15.8129175946548,intracellular,GO:0000131;GO:0000159;GO:0000164;GO:0000221;GO:0000228;GO:0005834;GO:0000781;GO:0000784;GO:0000803;GO:0000805;GO:0001740;GO:0005829;GO:0005634;GO:0005737;GO:0005681;GO:0005741;GO:0005783;GO:0043231;GO:0005798;GO:0030137;GO:0005955;GO:0005967;GO:0045254;GO:0015934;GO:0017101;GO:0030018;GO:0030140;GO:0031968;GO:0034663;GO:0035267;GO:0035861;GO:0042470;GO:0043189;GO:0043229;GO:0044391;GO:0044424;GO:0044428;GO:0044429;GO:0044444;GO:0044445;GO:0044446;GO:0044449;GO:0048770;GO:0071006;GO:0071012;GO:0071013;GO:0090734;GO:0097342
GO:0005623,454,20.2227171492205,cell,GO:0000131;GO:0000159;GO:0000164;GO:0000221;GO:0000228;GO:0005834;GO:0000781;GO:0000784;GO:0000803;GO:0000805;GO:0001740;GO:0005829;GO:0005634;GO:0005737;GO:0005681;GO:0005741;GO:0005783;GO:0043231;GO:0005798;GO:0030137;GO:0005934;GO:0005935;GO:0005955;GO:0005967;GO:0008287;GO:0009279;GO:0045254;GO:0015934;GO:0017101;GO:0030018;GO:0030140;GO:0031264;GO:0031265;GO:0031968;GO:0033181;GO:0034663;GO:0035267;GO:0035748;GO:0035861;GO:0042383;GO:0042470;GO:0043189;GO:0043197;GO:0043220;GO:0043229;GO:0044309;GO:0044391;GO:0044424;GO:0044428;GO:0044429;GO:0044444;GO:0044445;GO:0044446;GO:0044449;GO:0044462;GO:0044463;GO:0044464;GO:0048770;GO:0070765;GO:0071006;GO:0071012;GO:0071013;GO:0090734;GO:0097342;GO:0097453;GO:0098797;GO:1990015;GO:1990204
GO:0005634,46,2.04899777282851,nucleus,GO:0000228;GO:0000784;GO:0001740;GO:0005681;GO:0035267;GO:0043189;GO:0044428;GO:0071006;GO:0071012;GO:0071013
GO:0005635,0,0,nuclear envelope,
