GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,5,45.4545454545455,cellular_component,GO:0005604;GO:0005913;GO:0032154;GO:0032155;GO:0097610
GO:0005576,1,9.09090909090909,extracellular region,GO:0005604
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,0,0,intracellular,
GO:0005623,3,27.2727272727273,cell,GO:0032154;GO:0032155;GO:0097610
GO:0005634,0,0,nucleus,
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,0,0,cytoplasm,
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,1,9.09090909090909,plasma membrane,GO:0032154
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,1,9.09090909090909,extracellular matrix,GO:0005604
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,0,0,protein-containing complex,
GO:0043226,0,0,organelle,
