GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,16,34.7826086956522,cellular_component,GO:0005802;GO:0005912;GO:0005924;GO:0005925;GO:0016324;GO:0030027;GO:0030055;GO:0030173;GO:0030175;GO:0031228;GO:0031300;GO:0031301;GO:0031984;GO:0070161;GO:0098791;GO:0098858
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,5,10.8695652173913,intracellular,GO:0005802;GO:0030173;GO:0031228;GO:0031984;GO:0098791
GO:0005623,9,19.5652173913043,cell,GO:0005802;GO:0016324;GO:0030027;GO:0030173;GO:0030175;GO:0031228;GO:0031984;GO:0098791;GO:0098858
GO:0005634,0,0,nucleus,
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,4,8.69565217391304,cytoplasm,GO:0005802;GO:0030173;GO:0031228;GO:0098791
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,4,8.69565217391304,Golgi apparatus,GO:0005802;GO:0030173;GO:0031228;GO:0098791
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,1,2.17391304347826,plasma membrane,GO:0016324
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,0,0,protein-containing complex,
GO:0043226,7,15.2173913043478,organelle,GO:0005802;GO:0030173;GO:0031228;GO:0031300;GO:0031301;GO:0031984;GO:0098791
