GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,88,59.4594594594595,cellular_component,GO:0005576;GO:0005796;GO:0005886;GO:0005887;GO:0009986;GO:0016020;GO:0016021;GO:0030425;GO:0030662;GO:0030665;GO:0030669;GO:0031224;GO:0031225;GO:0031226;GO:0034702;GO:0034703;GO:0034704;GO:0035003;GO:0043235;GO:0120025;GO:1902495;GO:1990351;GO:1990433
GO:0005576,4,2.7027027027027,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,5,3.37837837837838,intracellular anatomical structure,GO:0005796;GO:0030662;GO:0030665;GO:0030669;GO:1990433
GO:0005634,1,0.675675675675676,nucleus,GO:1990433
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,4,2.7027027027027,cytoplasm,GO:0005796;GO:0030662;GO:0030665;GO:0030669
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,1,0.675675675675676,Golgi apparatus,GO:0005796
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,20,13.5135135135135,plasma membrane,GO:0005887;GO:0031226;GO:0035003
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,3,2.02702702702703,cytoplasmic vesicle,GO:0030662;GO:0030665;GO:0030669
GO:0032991,17,11.4864864864865,protein-containing complex,GO:0034702;GO:0034703;GO:0034704;GO:0035003;GO:0043235;GO:1902495;GO:1990351;GO:1990433
GO:0043226,5,3.37837837837838,organelle,GO:0005796;GO:0030662;GO:0030665;GO:0030669;GO:1990433
